Series_reference,Data_value
BDCQ.SEA1AA,4821561.0
BDCQ.SEA1AS,4822870.0
BDCQ.SEA1AT,4825574.0
BDCQ.SEA1BA,283684.0
BDCQ.SEA1BS,283684.0
BDCQ.SEA1BT,283774.0
BDCQ.SEA1CA,11307795.0
BDCQ.SEA1CS,11308615.0
BDCQ.SEA1CT,11310396.0
BDCQ.SEA1DA,946742.0
BDCQ.SEA1DS,946742.0
BDCQ.SEA1DT,946354.0
BDCQ.SEA1EA,7591418.0
BDCQ.SEA1ES,7592041.0
BDCQ.SEA1ET,7591427.0
BDCQ.SEA1FA,5313431.0
BDCQ.SEA1FS,5313319.0
BDCQ.SEA1FT,5314057.0
BDCQ.SEA1GA,10090793.0
BDCQ.SEA1GS,10090853.0
BDCQ.SEA1GT,10091915.0
BDCQ.SEA1HA,6809865.0
BDCQ.SEA1HS,6810809.0
BDCQ.SEA1HT,6818587.0
BDCQ.SEA1IA,4413033.0
BDCQ.SEA1IS,4413038.0
BDCQ.SEA1IT,4412388.0
BDCQ.SEA1JA,1760227.0
BDCQ.SEA1JS,1760227.0
BDCQ.SEA1JT,1758925.0
BDCQ.SEA1KA,3166214.0
BDCQ.SEA1KS,3166214.0
BDCQ.SEA1KT,3166319.0
BDCQ.SEA1LA,1561136.0
BDCQ.SEA1LS,1561241.0
BDCQ.SEA1LT,1560901.0
BDCQ.SEA1MA,7592382.0
BDCQ.SEA1MS,7592684.0
BDCQ.SEA1MT,7597592.0
BDCQ.SEA1NA,4825110.0
BDCQ.SEA1NS,4825600.0
BDCQ.SEA1NT,4825132.0
BDCQ.SEA1OA,6614002.0
BDCQ.SEA1OS,6614002.0
BDCQ.SEA1OT,6609453.0
BDCQ.SEA1PA,9656429.0
BDCQ.SEA1PS,9648896.0
BDCQ.SEA1PT,9643926.0
BDCQ.SEA1QA,11779711.0
BDCQ.SEA1QS,11779711.0
BDCQ.SEA1QT,11780596.0
BDCQ.SEA1RA,2000728.0
BDCQ.SEA1RS,2000940.0
BDCQ.SEA1RT,2000607.0
BDCQ.SEA1SA,3312474.0
BDCQ.SEA1SS,3312620.0
BDCQ.SEA1ST,3313735.0
BDCQ.SEA1ZA,103846741.0
BDCQ.SEA1ZS,103842377.0
BDCQ.SEA1ZT,103856051.0
BDCQ.SEA2AA,55432.499807
BDCQ.SEA2AS,0.0
BDCQ.SEA2AT,0.0
BDCQ.SEA2BA,7761.866052
BDCQ.SEA2BS,0.0
BDCQ.SEA2BT,0.0
BDCQ.SEA2CA,187274.259817
BDCQ.SEA2CS,0.0
BDCQ.SEA2CT,0.0
BDCQ.SEA2DA,20959.434622
BDCQ.SEA2DS,0.0
BDCQ.SEA2DT,0.0
BDCQ.SEA2EA,124668.738916
BDCQ.SEA2ES,0.0
BDCQ.SEA2ET,0.0
BDCQ.SEA2FA,90645.139954
BDCQ.SEA2FS,0.0
BDCQ.SEA2FT,0.0
BDCQ.SEA2GA,101544.016416
BDCQ.SEA2GS,0.0
BDCQ.SEA2GT,0.0
BDCQ.SEA2HA,52070.382661
BDCQ.SEA2HS,0.0
BDCQ.SEA2HT,0.0
BDCQ.SEA2IA,74300.61582400001
BDCQ.SEA2IS,0.0
BDCQ.SEA2IT,0.0
BDCQ.SEA2JA,33158.745063
BDCQ.SEA2JS,0.0
BDCQ.SEA2JT,0.0
BDCQ.SEA2KA,77349.305508
BDCQ.SEA2KS,0.0
BDCQ.SEA2KT,0.0
BDCQ.SEA2LA,23960.035717
BDCQ.SEA2LS,0.0
BDCQ.SEA2LT,0.0
BDCQ.SEA2MA,153060.954445
BDCQ.SEA2MS,0.0
BDCQ.SEA2MT,0.0
BDCQ.SEA2NA,54892.15331
BDCQ.SEA2NS,0.0
BDCQ.SEA2NT,0.0
BDCQ.SEA2OA,129288.967507
BDCQ.SEA2OS,0.0
BDCQ.SEA2OT,0.0
BDCQ.SEA2PA,133842.449933
BDCQ.SEA2PS,0.0
BDCQ.SEA2PT,0.0
BDCQ.SEA2QA,172550.414012
BDCQ.SEA2QS,0.0
BDCQ.SEA2QT,0.0
BDCQ.SEA2RA,22477.398711
BDCQ.SEA2RS,0.0
BDCQ.SEA2RT,0.0
BDCQ.SEA2SA,38643.45297
BDCQ.SEA2SS,0.0
BDCQ.SEA2ST,0.0
BDCQ.SEA2ZA,1553880.831233
BDCQ.SEA2ZS,0.0
BDCQ.SEA2ZT,0.0
BDCQ.SEB1X1A,52241359.0
BDCQ.SEB1X2A,51605389.0
BDCQ.SEB2X1A,907356.574314
BDCQ.SEB2X2A,646524.278531
BDCQ.SEC1AAA,5907534.0
BDCQ.SEC1ABA,11438819.0
BDCQ.SEC1ACA,12395457.0
BDCQ.SEC1ADA,11532730.0
BDCQ.SEC1AEA,10582952.0
BDCQ.SEC1AFA,10628984.0
BDCQ.SEC1AGA,10704617.0
BDCQ.SEC1AHA,10207494.0
BDCQ.SEC1AIA,8772343.0
BDCQ.SEC1AJA,6632489.0
BDCQ.SEC1AKA,4722978.0
BDCQ.SEC2AAA,31285.776447
BDCQ.SEC2ABA,108386.376808
BDCQ.SEC2ACA,164444.683736
BDCQ.SEC2ADA,180468.353497
BDCQ.SEC2AEA,181465.090528
BDCQ.SEC2AFA,189915.843983
BDCQ.SEC2AGA,194797.721076
BDCQ.SEC2AHA,183529.488561
BDCQ.SEC2AIA,151743.242701
BDCQ.SEC2AJA,107611.6143
BDCQ.SEC2AKA,59064.019404
BDCQ.SED1RAA,3169311.0
BDCQ.SED1RAS,3169147.0
BDCQ.SED1RAT,3169044.0
BDCQ.SED1RBA,34988297.0
BDCQ.SED1RBS,34986943.0
BDCQ.SED1RBT,34988351.0
BDCQ.SED1RCA,9743551.0
BDCQ.SED1RCS,9743176.0
BDCQ.SED1RCT,9743822.0
BDCQ.SED1RDA,6301418.0
BDCQ.SED1RDS,6301410.0
BDCQ.SED1RDT,6301149.0
BDCQ.SED1REA,1037152.0
BDCQ.SED1RES,1037229.0
BDCQ.SED1RET,1037479.0
BDCQ.SED1RFA,3653832.0
BDCQ.SED1RFS,3654120.0
BDCQ.SED1RFT,3654231.0
BDCQ.SED1RGA,2533662.0
BDCQ.SED1RGS,2533574.0
BDCQ.SED1RGT,2533241.0
BDCQ.SED1RHA,5165628.0
BDCQ.SED1RHS,5165435.0
BDCQ.SED1RHT,5166106.0
BDCQ.SED1RIA,11754424.0
BDCQ.SED1RIS,11753709.0
BDCQ.SED1RIT,11753915.0
BDCQ.SED1RJA,978389.0
BDCQ.SED1RJS,978392.0
BDCQ.SED1RJT,978780.0
BDCQ.SED1RKA,1106933.0
BDCQ.SED1RKS,1106744.0
BDCQ.SED1RKT,1106705.0
BDCQ.SED1RLA,1247881.0
BDCQ.SED1RLS,1247729.0
BDCQ.SED1RLT,1247574.0
BDCQ.SED1RMA,730897.0
BDCQ.SED1RMS,730875.0
BDCQ.SED1RMT,730558.0
BDCQ.SED1RNA,13957656.0
